epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1369.94,1.86291,2.9691,1.8425,0.36393,0.27,0.22471,0.08677,2.09729,3.13805,2.12408,0.000255802,0.000255802,0.000255802
2,2748.77,1.79967,2.40588,1.78054,0.50485,0.33161,0.32713,0.14677,1.99678,2.62313,1.98622,0.000501995,0.000501995,0.000501995
3,4129.58,1.78466,2.26653,1.7712,0.54669,0.3292,0.35124,0.16289,1.96963,2.45934,1.98815,0.000738037,0.000738037,0.000738037
4,5512.86,1.75405,2.13139,1.75123,0.49381,0.37108,0.3644,0.1726,1.95468,2.36238,1.94671,0.000723321,0.000723321,0.000723321
5,6898.68,1.72386,2.01937,1.72754,0.55003,0.39845,0.41236,0.20909,1.84931,2.19583,1.92096,0.000708095,0.000708095,0.000708095
6,8286.08,1.70034,1.95504,1.71138,0.57509,0.39667,0.40946,0.21275,1.84878,2.14602,1.84455,0.000692869,0.000692869,0.000692869
7,9671.11,1.66436,1.86239,1.67033,0.5352,0.42161,0.43979,0.23445,1.78899,2.03566,1.82269,0.000677643,0.000677643,0.000677643
8,11056.7,1.63684,1.80822,1.65377,0.59206,0.42816,0.44712,0.24258,1.80849,2.00842,1.83597,0.000662417,0.000662417,0.000662417
9,12443.3,1.61782,1.75082,1.63451,0.64799,0.41821,0.46608,0.2515,1.80039,1.9177,1.80474,0.00064719,0.00064719,0.00064719
10,13829.3,1.59961,1.70497,1.61522,0.65901,0.43907,0.48453,0.26107,1.77824,1.86288,1.80871,0.000631964,0.000631964,0.000631964
11,15215,1.5887,1.68272,1.61586,0.62265,0.4699,0.49464,0.27152,1.73703,1.80053,1.77359,0.000616738,0.000616738,0.000616738
12,16599.8,1.55469,1.61999,1.59189,0.63058,0.47198,0.50945,0.28311,1.71838,1.76085,1.767,0.000601512,0.000601512,0.000601512
13,17987,1.541,1.58853,1.57716,0.66461,0.47228,0.50189,0.27718,1.71456,1.74658,1.74571,0.000586286,0.000586286,0.000586286
14,19374.6,1.54078,1.55043,1.57445,0.70687,0.46319,0.51563,0.28854,1.71629,1.74279,1.76727,0.000571059,0.000571059,0.000571059
15,20760.8,1.51814,1.50625,1.55239,0.67325,0.47712,0.51722,0.28538,1.74072,1.72989,1.76035,0.000555833,0.000555833,0.000555833
16,22145.7,1.50912,1.50289,1.547,0.69278,0.47083,0.52016,0.29063,1.68673,1.67669,1.74749,0.000540607,0.000540607,0.000540607
17,23530.9,1.49515,1.46217,1.53629,0.64786,0.48655,0.52016,0.29033,1.69811,1.67257,1.73552,0.000525381,0.000525381,0.000525381
18,24915.9,1.48843,1.44296,1.53107,0.66618,0.49599,0.5349,0.30596,1.66914,1.62047,1.73036,0.000510155,0.000510155,0.000510155
19,26299.4,1.46049,1.40895,1.51278,0.66111,0.49371,0.53351,0.30781,1.65824,1.60738,1.71798,0.000494928,0.000494928,0.000494928
